Path,AOM,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Edge_Value,Synonym,Description,Notes,Example Units,Ontology,Agrovoc,Group,Scientific Name,NCBI,Sex,ERA.Field,ERA_Code,C or E,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component,CPC_Code_Product_Match,CPC_Code_Component_Match,Ani_Diet_Spp_Syn,Is_Ani_Diet_Ingredient,ilri_code,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/stall,AOM_000905,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,stall,,,stall,crate,closed housing system where the crates has a standard size and the rear end can be equipped with concrete slats over a deep pit in which slurry and cleaning waters are stored. Feeding systems and drinkers are placed at the front end. A housing design in which animal have restricted freedom of movement except when the animal are released to walk to a milking parlour or to be fed. Often most of the feed is served in front of the stalls.,,,http://opendata.inra.fr/EOL/EOL_0001638; http://opendata.inra.fr/EOL/EOL_0001906,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/stall/digestibility stall,AOM_000908,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,stall,digestibility stall,,digestibility stall,digestibility crate,an experimental crate system where urine and feces can be collected and quantified separately,,,http://opendata.inra.fr/EOL/EOL_0001698,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/stall/semi-tied stall,AOM_000906,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,stall,semi-tied stall,,semi-tied stall,,housing design in which animal have restricted freedom of movement except when the animal are released to walk to a milking parlour or to be fed. Often most of the feed is served in front of the stalls,,,http://opendata.inra.fr/EOL/EOL_0001906,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/stall/tied stall,AOM_000907,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,stall,tied stall,,tied stall,crate; tether stall,housing design in which livestock are permanently restrained in a stall whilst they are kept in the house and so have restricted freedom of movement.,,,http://opendata.inra.fr/EOL/EOL_0001905,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure,AOM_003027,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,,,,indoor rearing structure,,"structure on concrete, wood, etc... with natural light or windowless with a light system, thermally insulated and ventilated or constructed with open sidewalls (windows with jalousie-type curtains)",,,http://opendata.inra.fr/EOL/EOL_0001600,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/loafing area,AOM_003030,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,loafing area,,,,loafing area,resting area,"area where animals are resting, with or without partitions (stalls), mattress or straw bedding",,,http://opendata.inra.fr/EOL/EOL_0001972,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/open housing,AOM_000914,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,open housing,,,,open housing,open building,"housing structure with partial or total access to outdoors, an area with natural light (courtyard, pasture)",,,http://opendata.inra.fr/EOL/EOL_0001648,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/outdoor rearing structure,AOM_003031,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,outdoor rearing structure,,,,outdoor rearing structure,outdoor,"rearing structure where animals are free of its movements outdoors, providing great space but physically delimited (electric or virtual fence) and subject to climatic conditions, providing potentially shelters and plenty of grass",,,http://opendata.inra.fr/EOL/EOL_0001647,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/terrestrial cage,AOM_003032,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,terrestrial cage,,,,terrestrial cage,,a rearing structure made with wire mesh adapted to the animal size,,,http://opendata.inra.fr/EOL/EOL_0001652,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/Unspecified,AOM_003051,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,Unspecified,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure,AOM_003026,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,,,,,production unit structure,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/free-range system,AOM_000901,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,free-range system,,,,,free-range system,free-range rearing system,"Free range denotes a method of farming husbandry where the animals, for at least part of the day, can roam freely outdoors, rather than being confined in an enclosure for 24 hours each day. On many farms, the outdoors ranging area is fenced, thereby technically making this an enclosure, however, free range systems usually offer the opportunity for the extensive locomotion and sunlight that is otherwise prevented by indoor housing systems. Free range may apply to meat, eggs or dairy farming. [https://en.wikipedia.org/wiki/Free_range]",,,http://opendata.inra.fr/EOL/EOL_0001619,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system,AOM_000902,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,,,,,indoor rearing system,closed building construction system;closed terrestrial system,"closed housing system, in thermally insulated buildings with or without forced ventilation",,,http://opendata.inra.fr/EOL/EOL_0001606;http://opendata.inra.fr/EOL/EOL_0001600,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/battery cage system,AOM_000903,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,battery cage system,,,,battery cage system,cage system,"closed housing system including building construction and cage design and placement. The cages can be assembled together. Structure on concrete, wood, etc... with natural light or windowless with a light system, thermally insulated and ventilated or constructed with open sidewalls (windows with jalousie-type curtains)",,,http://opendata.inra.fr/EOL/EOL_0001620,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/battery cage system/enriched cage system,AOM_000904,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,battery cage system,enriched cage system,,,enriched cage system,,"housing system where each cage is equipped with perches, laying nest and a sand bath (or equivalent) with litter material.",,,http://opendata.inra.fr/EOL/EOL_0001624,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/crate system/digestibility crate system,AOM_003024,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,crate system,digestibility crate system,,,digestibility crate system,,an experimental crate system where urine and feces can be collected and quantified separately,,,http://opendata.inra.fr/EOL/EOL_0001698,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/crate system,AOM_003023,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,crate system,,,,crate system,stall system,closed housing system where the crates has a standard size and the rear end can be equipped with concrete slats over a deep pit in which slurry and cleaning waters are stored. Feeding systems and drinkers are placed at the front end.,,,http://opendata.inra.fr/EOL/EOL_0001638,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/larger space,AOM_000909,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,larger space,,,,larger space,,"housing systems where animals have more space (than a cage, stall or crate) or can move around more freely within the building.",,,http://opendata.inra.fr/EOL/EOL_0001625,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/larger space/aviary system,AOM_000910,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,larger space,aviary system,,,aviary system,perchery system,"housing space is subdivided into different functional areas: feeding and drinking, sleeping and resting, scratch area, egg laying area. The birds can use several house levels.",,,http://opendata.inra.fr/EOL/EOL_0000325,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/larger space/barn rearing system,AOM_000911,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,larger space,barn rearing system,,,barn rearing system,shed; free stall system; broiler house;duck house;loose housing;poultry house;shed;turkey house,"A large closed housing system without partitions and in which animal are allowed to move freely. A farm building used for housing livestock, storing machinery or crops etc.",,,http://opendata.inra.fr/EOL/EOL_0000306;http://opendata.inra.fr/EOL/EOL_0001907,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/larger space/pen rearing system ,AOM_000913,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,larger space,pen rearing system ,,,pen rearing system ,,"housing system resulting of subdivisions by partitions or barriers in a building. The pens in this system could have various sizes and contain various number of animals. A small enclosure for livestock, within a house.",,,http://opendata.inra.fr/EOL/EOL_0001636; http://opendata.inra.fr/EOL/EOL_0001902,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/indoor rearing system/non-cage housing system,AOM_003025,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,indoor rearing system,non-cage housing system,,,,non-cage housing system,,housing systems where animals have more space or can move around more freely within the building.,,,http://opendata.inra.fr/EOL/EOL_0001625,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/migratory herding system ,AOM_000915,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,migratory herding system ,,,,,migratory herding system ,,seasonal movement of herds using different remote ecosystem supports (e.g. pasture ground for cattle),,,http://opendata.inra.fr/EOL/EOL_0001726,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/migratory herding system /pastoral nomadism system,AOM_000917,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,migratory herding system ,pastoral nomadism system,,,,pastoral nomadism system,,system where livestock are herded in order to find fresh pastures on which to graze following an irregular pattern of movement,,,http://opendata.inra.fr/EOL/EOL_0001727,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/migratory herding system /pastoralism system,AOM_000916,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,migratory herding system ,pastoralism system,,,,pastoralism system,,system where herds are moving in search of fresh pasture and water,,,http://opendata.inra.fr/EOL/EOL_0001728,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/mixed indoor-outdoor,AOM_000918,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,mixed indoor-outdoor,,,,,mixed indoor-outdoor,,daily or seasonal alternation imposed to the animal between the indoor system and the outdoor system,,,http://opendata.inra.fr/EOL/EOL_0001697,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/mixed indoor-outdoor/semi-roofed yard,AOM_003085,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,mixed indoor-outdoor,semi-roofed yard,,,,semi-roofed yard,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/open-front housing system,AOM_000919,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,open-front housing system,,,,,open-front housing system,,housing system using shed with wind barrier used for insulation and protection against the wind and rain,,,http://opendata.inra.fr/EOL/EOL_0001635,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/outdoor rearing system,AOM_000920,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,outdoor rearing system,,,,,outdoor rearing system,,"outside rearing system in fields. Animals are possibly provided with food, water and shelter and have a generous minimum space allowances. Animals are free to move outdoors, there is space but it is physically limited (electric or virtual fence) and subject to climatic conditions.",,,http://opendata.inra.fr/EOL/EOL_0001607;http://opendata.inra.fr/EOL/EOL_0001647,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing system/outdoor rearing system/feedlot system,AOM_000921,Farming System,livestock system,terrestrial system,living environment,rearing or housing system,outdoor rearing system,feedlot system,,,,feedlot system,feed lot system;feed yard system;zero-grazing,housing system composed by a confined yard area with watering and feeding facilities where cattle are fed for the purpose of production. They may contain thousands of animals in an array of pens. The soil of this system consists only of land.,,,http://opendata.inra.fr/EOL/EOL_0001707,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
